avg_running_balance_past30d,bank_risk,rb_at_deposit,past30d_returned_ach,card_txn_count_past30d,returned_past30d_avg_ach_amount,stddev_running_balance_past30d,ach_c_avg_past30d,od_count_past30d,ach_c_count_past10by30d,amount,ach_c_median_past30d,card_txn_avg_past30d,past30d_avg_ach_amount,debit_txn_count_past10by30d,ach_c_std_past30d,card_txn_median_past10by30d,card_txn_median_past30d,ach_c_median_past10by30d,debit_by_credit_past_30d,rejected_past30d_avg_ach_amount,ein_ssn
-38.79470588235296,3,-2255.09,0,16,0.0,634.0667010961628,195.78323529411765,1,0.714286,1200.0,1100.0,15.950294117647061,1100.0166666666667,0.851852,340.3941488291813,0.9922041105598867,21.165,1.0,3.857143,1100.0166666666667,0.0
282.334,1,578.08,0,16,0.0,312.6656722288918,49.53564102564103,1,0.615385,250.0,75.0,5.159743589743591,276.0,0.153846,127.0695121698235,1.4347252747252748,11.375,0.9666666666666667,2.0,0.0,0.0
385.40066666666667,1,269.5,0,35,0.0,147.2067477823067,20.6225,0,0.375,200.0,63.474999999999994,5.619,40.0,0.454545,63.49883221695236,0.8557114228456912,4.99,0.9232768806616779,2.75,0.0,0.0
614.3526666666668,1,362.83,0,16,0.0,217.20710623628355,32.287179487179486,0,0.307692,40.0,68.99,4.896410256410257,250.0,0.346154,86.4395999958115,1.136602451838879,8.565,0.8022901869836209,2.0,0.0,0.0
0.0,2,0.0,0,0,0.0,0.0,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,1.0
382.56333333333333,1,1203.25,0,2,0.0,457.70172416733055,194.67166666666665,0,0.666667,60.0,480.0,14.85,442.0075,0.0,267.75416641638526,,44.55,1.125,0.5,600.0,0.0
36.666666666666664,2,810.0,0,0,0.0,146.0593486680443,0.0,0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
5.486666666666666,1,8.4,0,1,0.0,3.264726141900603,0.0,0,0.0,5.0,0.0,7.2,0.0,0.0,0.0,,7.2,,0.0,0.0,0.0
682.439,1,1166.04,0,2,0.0,516.5992603312822,190.0,0,0.333333,600.0,480.0,16.201666666666668,435.0,1.0,283.5489375751565,1.0,48.605000000000004,0.125,0.5,600.0,0.0
0.0,1,0.0,0,0,0.0,,0.0,0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
251.84166666666667,1,96.66,0,15,0.0,162.36316734690647,0.0,0,0.0,80.0,0.0,46.64133333333334,0.0,0.066667,0.0,6.351,20.0,,0.0,0.0,0.0
0.0,1,0.0,0,0,0.0,,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
2392.299666666667,2,2262.35,0,2,0.0,114.43587388104407,0.0,0,0.0,60.0,0.0,120.13999999999999,0.0,0.5,0.0,0.4066921924421509,120.13999999999999,,0.0,0.0,0.0
775.728,1,1715.15,0,2,0.0,523.7933545048545,190.0,0,0.333333,600.0,480.0,16.201666666666668,435.0,1.0,283.5489375751565,1.0,48.605000000000004,0.125,0.5,600.0,0.0
775.728,1,1715.15,0,2,0.0,523.7933545048545,190.0,0,0.333333,400.0,480.0,16.201666666666668,468.0,1.0,283.5489375751565,1.0,48.605000000000004,0.125,0.5,600.0,0.0
2.0,3,2.0,0,0,0.0,,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,1.0
500.0,1,500.0,0,0,0.0,,0.0,0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
83.77368421052631,1,275.34,0,0,0.0,127.35405696153305,137.67000000000002,0,1.0,80.0,137.67000000000002,0.0,0.0,0.0,109.3611347783114,,0.0,1.0,0.0,0.0,0.0
0.0,1,0.0,0,0,0.0,,0.0,0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,1.0
0.0,2,0.0,0,0,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,1.0
0.0,1,0.0,0,0,0.0,,0.0,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
1360.2833333333333,1,2821.77,0,0,0.0,287.28928203939785,159.37,0,0.0,1250.0,159.37,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
0.0,1,0.0,0,0,0.0,,0.0,0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
0.0,1,0.0,0,0,0.0,0.0,0.0,0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
62.5,2,250.0,0,0,0.0,125.0,0.0,0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
1371.539230769231,2,7646.19,0,0,0.0,1966.572805930245,416.6666666666667,0,1.0,1250.0,625.0,0.0,1000.0,1.0,530.3300858899106,,0.0,1.0,0.5,0.0,0.0
1371.539230769231,2,7646.19,0,0,0.0,1966.572805930245,416.6666666666667,0,1.0,1250.0,625.0,0.0,1000.0,1.0,530.3300858899106,,0.0,1.0,0.5,0.0,0.0
60.0,1,350.0,0,0,0.0,54.772255750516614,0.0,0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
145.33333333333334,1,136.0,0,1,0.0,10.148325268098498,0.0,0,0.0,50.0,0.0,20.0,0.0,0.0,0.0,,20.0,,0.0,0.0,0.0
4413.080333333333,1,4849.55,0,0,0.0,344.1334055524481,434.265,0,0.333333,500.0,483.06,0.0,0.0,0.0,167.3173320370606,,0.0,1.0,0.333333,0.0,1.0
0.0,2,0.0,0,0,0.0,,0.0,0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
0.0,3,0.0,0,0,0.0,,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
0.0,1,0.0,0,0,0.0,0.0,0.0,0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
0.0,1,0.0,0,0,0.0,,0.0,0,0.0,1250.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
0.0,2,0.0,0,0,0.0,,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
1195.6521739130435,1,1250.0,0,0,0.0,260.6430175713434,1250.0,0,0.0,1250.0,1250.0,0.0,1250.0,0.0,0.0,,0.0,,0.0,0.0,0.0
1197.9166666666667,1,1250.0,0,0,0.0,255.15518153991437,1250.0,0,0.0,1250.0,1250.0,0.0,1250.0,0.0,0.0,,0.0,,0.0,0.0,0.0
1300.0,1,3750.0,0,0,0.0,568.257570707744,1250.0,0,0.0,672.08,1250.0,0.0,1250.0,0.0,0.0,,0.0,,0.0,0.0,0.0
21.05263157894737,1,50.0,0,0,0.0,25.362863675089404,50.0,0,1.0,64.0,50.0,0.0,50.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0
0.0,1,0.0,0,0,0.0,0.0,0.0,0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,1.0
0.0,3,0.0,0,0,0.0,,0.0,0,0.0,200.55,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
0.0,1,0.0,0,0,0.0,0.0,0.0,0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
41.666666666666664,1,1250.0,0,0,0.0,228.2177322938192,0.0,0,0.0,1250.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
71.636,1,18.53,0,44,0.0,132.32414348472284,0.0,0,0.0,1.0,0.0,34.30035087719298,0.0,0.191489,0.0,2.18598853153827,20.055,,4.7,0.0,0.0
0.0,1,0.0,0,0,0.0,,0.0,0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
0.0,1,0.0,0,0,0.0,,0.0,0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
0.0,1,0.0,0,0,0.0,,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,1.0
184.97666666666666,3,146.07,0,1,0.0,27.981478274686904,0.0,0,0.0,600.0,0.0,11.565,0.0,1.0,0.0,1.0,23.13,,0.0,0.0,1.0
15.51,1,15.51,0,0,0.0,0.0,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
368.3333333333333,1,450.0,0,0,0.0,404.8165470699156,500.0,0,0.0,875.0,1000.0,0.0,1000.0,1.0,0.0,,0.0,,1.0,0.0,1.0
483.3333333333333,1,325.0,0,0,0.0,393.28048544249566,625.0,0,0.5,875.0,937.5,0.0,937.5,0.0,88.38834764831844,,0.0,0.9333333333333333,0.5,0.0,1.0
533.1336666666667,1,406.61,0,26,0.0,286.5874450829892,45.96774193548387,0,0.5,1100.0,712.5,27.881290322580647,712.5,0.321429,229.80970388562795,1.2748040313549833,22.325,0.7719298245614035,9.333333,0.0,1.0
0.0,1,0.0,0,0,0.0,,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
0.0,1,0.0,0,0,0.0,,0.0,0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
