avg_running_balance_past30d,bank_risk,rb_at_deposit,completed_past30d_vs_current_amount_score,past30d_returned_ach,card_txn_count_past30d,returned_past30d_avg_ach_amount,stddev_running_balance_past30d,ach_c_avg_past30d,od_count_past30d,ach_c_count_past10by30d,amount,ach_c_median_past30d,card_txn_avg_past30d,past30d_avg_ach_amount,debit_txn_count_past10by30d,ach_c_std_past30d,card_txn_median_past10by30d,card_txn_median_past30d,ach_c_median_past10by30d,debit_by_credit_past_30d,rejected_past30d_avg_ach_amount,ein_ssn
2212.937,1,2775.57,0.9992006394884092,0,0,0.0,1029.4648424542288,1000.0,0.0,0.25,1250.0,1250.0,0.0,1250.0,0.0,0.0,,,1.0,0.25,0.0,0.0
22253.372333333336,1,11731.43,0.9174500495704316,0,0,0.0,7503.112516998704,584.8603174603176,0.0,0.345454,1215.8,210.84,0.0,1269.9169565217392,0.375,722.7154055450328,,,1.0,0.145454,700.0,0.0
7.75,1,7.75,,0,0,0.0,0.0,,0.0,,30.0,,,0.0,,,,,,0.0,0.0,0.0
457.6653333333333,2,1087.72,0.0734908136482939,0,1,0.0,342.8832784685385,81.15083333333332,3.0,0.25,28.0,93.555,2.6979166666666665,380.0,0.083333,186.1618185919156,,129.5,1.4761904761904765,1.0,0.0,0.0
205.87766666666667,1,549.13,,0,0,0.0,151.42935741616043,82.01857142857143,0.0,0.5,480.0,37.325,0.0,0.0,0.0,118.9237864208278,,,1.3302076356329535,0.166666,0.0,0.0
358.75,1,358.75,,0,0,0.0,0.0,,0.0,,1000.0,,,0.0,,,,,,0.0,0.0,0.0
143.33133333333333,2,109.0,18.181818181818183,0,2,0.0,53.43675467208932,2.0,0.0,1.0,200.0,10.0,7.006,10.0,0.0,,,17.515,1.0,1.5,0.0,0.0
-3.92,1,-13.82,,0,0,0.0,13.233577982046146,0.0,19.0,,20.0,,0.0,0.0,,,,,,0.0,0.0,0.0
280.10066666666665,1,255.79,,0,4,0.0,35.08663012221794,0.0,0.0,0.0,300.0,,40.504000000000005,0.0,0.25,,0.5241128298453139,27.475,,4.0,0.0,0.0
17.873333333333335,2,7.27,1.1641443538998837,0,1,0.0,11.621506025419016,3.036,0.0,0.5,10.0,7.59,2.824,7.59,0.5,3.1112698372208056,,14.12,0.7101449275362318,0.666666,0.0,1.0
